grammar_point;meaning;level;lesson_number;lesson_title;bunpro_url;structure;part_of_speech;word_type;register;about;cautions;example_jp_1;example_en_1;synonyms;antonyms;related;meaning_hint;jp_hint
他動詞（たどうし）・自動詞（じどうし）;Done through action vs. occurring on its own;N4;1;Ways of Doing and Being;https://bunpro.jp/grammar_points/transitive-intransitive-verbs;Transitive・Intransitive |  | を落（お）とす・が落（お）ちる | To drop・To fall |  | をつける・がつく | To attach・To be attached |  | を見（み）つける・が見（み）つかる | To find・To be found |  | を下（さ）げる・が下（さ）がる | To lower・To be lowered | Transitive・Intransitive |  | を落（お）とします・が落（お）ちます | To drop・To fall |  | をつけます・がつきます | To attach・To be attached |  | を見（み）つけます・が見（み）つかります | To find・To be found |  | を下（さ）げます・が下（さ）がります | To lower・To be lowered;;;Standard;The two most fundamental divisions that can be made with Japanese verbs are transitive verbs - the subject is moving/acting upon something else, and intransitive verbs - the subject themself is moving/acting. Sometimes these terms are simplified even further to 'other-move' (transitive), and 'self-move' (intransitive).;する and なる can also be thought of as a transitive-intransitive pair;木（き）からバナナを落（お）とす。;To drop a banana from a tree.;;;Verb［せる・させる］ | Verb［れる・られる］;;
直（なお）す;To do over, To redo;N4;1;Ways of Doing and Being;https://bunpro.jp/grammar_points/%E3%81%AA%E3%81%8A%E3%81%99;Verb［stem］+ なおす | Verb［stem］+ なおします;;;Standard;直（なお）す is a verb that means 'to fix', or 'to redo'. It is used when saying that something needs to be done a second time (usually due to the result/quality being insufficient the first time). To use 直（なお）す, it will need to be attached to the ます stem form of any verb.;直（なお）す (to fix) should not be confused with 治（なお）す (to heal/mend). The kanji 直（ちょく） literally means 'straight', or 'direct', and implies that one should 'straighten out' something.;フェンスを塗（ぬ）りなおす。;To repaint the fence.;;;つづける;;
と言（い）う事（こと）;~ing, The ~ that ~ (Nominalization);N4;1;Ways of Doing and Being;https://bunpro.jp/grammar_points/%E3%81%A8%E3%81%84%E3%81%86%E3%81%93%E3%81%A8;Phrase + ということ;;;Standard;One of the ways to perform nominalization (turning a phrase into a noun) in Japanese is through the use of the expression ということ. This grammar point is a combination of と (the particle), 言（い）う (the verb), and こと (the noun). Together, the literal translation is close to 'that (A) is said to be'. However, in reality, it sounds far less formal than this.;Although the kanji 言（い）う and 事（こと） may be used in this expression, the most common form does not use any kanji at all. This is a regular occurence in Japanese, as many set grammatical structures will not use kanji, simply because it makes the pattern easier to identify.;これが正（ただ）しいってことですか？;Does that mean that this is correct?;;;ということだ | ということは | ことなの | という | というのは | こと;;
時（とき）;When, At the time of;N4;2;When and How Often;https://bunpro.jp/grammar_points/%E3%81%A8%E3%81%8D;Verb + とき | ［い］Adjective + とき | ［な］Adjective + な + とき | Noun + の + とき;;;Standard;とき, or 時（とき） in kanji, is a noun that is regularly used to signify 'when' something happened (a verb). However, unlike some other time expressions, とき is mainly used to express things that happen at regular intervals (habits, hobbies, etc.), or at broad times/individual events (when it rains, when there is a sale at the shop, etc.);As discussed previously, ときに is primarily used to discuss when things happened. What this means is that it will not be used to highlight ongoing states that were true during the first action. For example 'the time you tripped over a log on Tuesday'. | When とき is used, the nuance will be that it is describing one thing leading to another, rather than a static thing.;散歩（さんぽ）をするときに音楽（おんがく）を聴（き）く。;I listen to music when I take a walk.;折には;;ながら | うちに | ことがある | の間に | ているところだ | 中 | と同時に | 最中に | ているあいだに | ごろ | 際に;;
まず;To start with, Firstly;N4;2;When and How Often;https://bunpro.jp/grammar_points/%E3%81%BE%E3%81%9A;まず + Phrase;;;Standard;Like many other adverbs in Japanese, まず can be used to modify a whole phrase/sentence. This means that it will regularly appear at the beginning of a statement. まず is associated with kanji 先（まず） and therefore carries the meaning of 'first', or 'starting with'.;When using まず, it can sound like you are giving someone advice, so be careful to use polite language, or perhaps と思（おも）う to show that the suggestion is just an opinion.;まず宿題（しゅくだい）をしたほうがいい。;First, it would be best for me to do my homework.;;;て初めて;;
まで;Even, To even, To the extent of;N4;2;When and How Often;https://bunpro.jp/grammar_points/%E3%81%BE%E3%81%A7;Noun + まで(も);;;Standard;The adverbial particle まで is used in the same way as many other adverbial particles, in that it is highlighting that the statement that comes after it as important in some way. However, unlike our first look at まで, which discussed its use as 'until', this use of まで has the nuance of 'even', or 'to the extent'.;;こっちまでイライラしてきた。;Even I am starting to get annoyed. (to the extent・until);;;さえ | Noun + まで | ほど | くらい ② | ほど～ない | Verb + まで;;
までに;By ~, By the time that ~, Before ~;N4;2;When and How Often;https://bunpro.jp/grammar_points/%E3%81%BE%E3%81%A7%E3%81%AB;Verb + までに | Noun + までに;;;Standard;までに is a combination of two different types of particles. The adverbial particle まで, and the case marking particle に. までに is very similar to まで when it means 'until'. However, there is one very important distinction. This distinction is that までに means 'by', not 'until'.;;明日（あした）までに電話（でんわ）をください。;Please call by tomorrow.;;;Verb + まで | Noun + まで;;
また;Also, As well, Moreover, Again, Additionally;N4;2;When and How Often;https://bunpro.jp/grammar_points/%E3%81%BE%E3%81%9F;また + Phrase;;;Standard;また, or 又（また） in its kanji form, is an expression which means 'again', 'additionally', 'also', or 'moreover'. This may seem confusing at first, but it may be easier to think of また as meaning 'repetition of (A)', where (A) is any particular course of action. This repetition is a bit different to English, in that it can express the same action, or an alternative option. また can be used as an adverb, or as a conjunction. In this lesson, we will focus on its use as a conjunction.;;また寝坊（ねぼう）したの？;You overslept again?;;;上に | 再び | それに | 更に;;
始（はじ）める;To start, To begin to;N4;2;When and How Often;https://bunpro.jp/grammar_points/%E3%81%AF%E3%81%98%E3%82%81%E3%82%8B;Verb［stem］+ はじめる | Verb［stem］+ はじめます;;;Standard;To express that actions are beginning or ending in Japanese, the verbs 始（はじ）める (to commence), or 終（お）わる (to end) will need to be used. In this lesson, we will focus on actions that are 'beginning'.;It can be easy to accidentally use 始（はじ）まる, the intransitive form of this verb. However, with this expression, the transitive form will always be used, due to the verb that はじめる is attached to being the thing that 'is started', by 'something' else.;今朝（けさ）、雪（ゆき）が降（ふ）りはじめた。;It started to snow this morning.;;てしまう・ちゃう | おわる | 上がる・上げる;ていく | かけ | だす;;
終（お）わる;To finish, To end;N4;2;When and How Often;https://bunpro.jp/grammar_points/%E3%81%8A%E3%82%8F%E3%82%8B;Verb［stem］+ 終（お）わる | Verb［stem］+ 終（お）わります;;;Standard;To express that actions are beginning, or ending in Japanese, the verbs 始（はじ）める (to commence), or 終（お）わる (to end) will need to be used. In this lesson, we will focus on actions that are 'ending'.;Unlike はじめる, which uses the transitive form, 終（お）わる uses the intransitive form of its transitive/intransitive pair. This is due to most actions in Japanese being considered to be things that 'come to an end' naturally (intransitive), rather than forcefully (transitive). However, there are exceptions to this, and 終（お）える (the transitive version) may also be seen used as an auxiliary to other verbs.;２（に）時間（じかん）もかかったけど、食（た）べおわりました。;It took two hours but I finished eating.;;はじめる | だす;てしまう・ちゃう | 切る | 上がる・上げる;;
頃（ころ）;Around, About;N4;2;When and How Often;https://bunpro.jp/grammar_points/%E3%81%94%E3%82%8D;Verb + ころ | ［い］Adjective + ころ | ［な］Adjective + な + ころ | Noun + ごろ | Noun + の + ころ;;;Standard;ころ, or ごろ (the colloquial pronunciation) is a word which carries the meaning of 'around', or 'about'. It is utilized in a similar way to くらい, but has a few differences. When ごろ is used, it will need to be attached to the end of a noun, or a noun followed by の.;The kanji form of 頃（ころ） is also very common, so it is worth learning as soon as possible, to save any confusion while reading.;８（はち）時（じ）頃（ごろ）に帰（かえ）りました。;I went home around eight o'clock.;くらい ①;;とき;;
後（あと）で;After, Later;N4;2;When and How Often;https://bunpro.jp/grammar_points/%E3%81%82%E3%81%A8%E3%81%A7;Verb［た］+ あとで | Noun + の + あとで | 後（あと）で + Phrase | Verb + のは + あとで;;;Standard;In Japanese, あとで is a combination of the noun 後（あと） (behind), and the particle で (with). When these words are linked, they form an adverbial phrase which is used to express 'after', or 'later'. As with で's standard meaning of 'with', あとで is simply highlighting that something will happen, 'with' the 'after/behind' part of something.;;勉強（べんきょう）するのは食（た）べた後（あと）でいいよ。;You can study after you finish eating. (With the time after eating);;まえに;上で | たら | 前者は・後者は | てから;;
～ていた;Was doing ~;N4;2;When and How Often;https://bunpro.jp/grammar_points/%E3%81%A6%E3%81%84%E3%81%9F;Verb［ている］+ た | Verb［ている］+ ました;;;Standard;To convey that '(A) was happening', or that somebody 'was doing (A)' in Japanese, ていた (or ていました) will be used. ていた is a construction which uses the conjunction particle て, and the ichidan verb いる (to exist), in its past tense form いた.;;勉強（べんきょう）をしていたけど、今（いま）は休（やす）んでいる。;I was studying but am taking a break right now.;;;Verb + て | う-Verb (Past);;
に (Frequency);Times (In each time period), Every, Frequency of;N4;2;When and How Often;https://bunpro.jp/grammar_points/%E3%81%AB-frequency;Timeframe + に + Number of Times;;;Standard;When the case marking particle に is used, sometimes it has the nuance of 'frequency'. This means that it can be utilized to describe how often something happens/is done. In this grammatical construction, the 'time frame' is followed by に, then followed by the number of times that you would like to say that something happens.;This use of に should not be confused with で in relation to time. When で is used for 'time', it is expressing the amount of time that is required to do something, or how much time something is expected to take. It is not used for frequency. | Due to this, you can think of に as marking a portion (or portions) of time inside of a larger space of time, within which something happens. However, で marks a whole space of time, within which something can be/is completed.;私（わたし）は一（いっ）ヶ月（かげつ）に一回（いっかい）友達（ともだち）と遊園地（ゆうえんち）に行（い）く。;I go to the amusement park with my friend every month. (One time per month);;;ごとに | おきに;;
到頭（とうとう）;Finally, After all;N4;2;When and How Often;https://bunpro.jp/grammar_points/%E3%81%A8%E3%81%86%E3%81%A8%E3%81%86;とうとう + Phrase;;;Standard;とうとう is an adverb that is used to express that something 'finally' happens. In Japanese, there are a few ways to do this, but とうとう is one of the more common. Coming from the kanji 到頭（とうとう）, this structure literally means 到 (to arrive at), 頭 (the head of/crux of) something. Due to this, 'finally', and 'after all' are the two most common translations of とうとう. Like many other adverbs in Japanese, とうとう is often used at the beginning of a phrase/sentence.;とうとう is not used in situations where you expect something to happen/start, but there has not actually been a period of time in which some sort of effort was made to achieve a result. | A good example of this is the changing of seasons. You might want to say 'finally, it's summer!', but this is not something that anyone has done anything to achieve. Rather, it came naturally. In these cases, いよいよ will be used, and has the nuance of 'finally', or 'at last' (in relation to something starting/happening).;到頭（とうとう）休（やす）みだ。;Finally it is my day off.;;;遂に | いよいよ;;
より;More than, Over;N4;2;When and How Often;https://bunpro.jp/grammar_points/%E3%82%88%E3%82%8A;Verb + より + Adjective | Noun + より + Adjective;;;Standard;In N5, we learned about the use of より that is seen when making comparisons in より～のほうが. However, in this lesson, we will take a look at how this case marking particle can be used by itself. When used alone, this particle expresses that (A) (a noun or verb) is being compared to (B) (a noun or verb that is regularly paired with an adjective). The word that より is directly attached to will always be 'less than' the comparison being made. However, the overall expression is used to describe that (B) is 'more' (something) than (A).;In many textbooks, より is taught as meaning 'more', but the word that より is attached to will actually be the thing that is 'less' (something). The word/quote that has が attached to it will be the thing that is 'more' (adjective). This is particularly confusing when より is not directly attached to a word, something which is common in casual spoken language. | In this sentence, because the が is attached to これ, これ is the thing that is 'more expensive'. As より is not actually directly connected to any other word, it therefore means that これ is expensive, compared to 'other things'. When you see より like this, just pretend that it says 'other things' before it.;あなたの絵（え）は私（わたし）の絵（え）より上手（じょうず）。;Your paintings are better than mine.;以上に | より～のほうが;;というより | にもまして | こそ | 以上 ① | ほど～ない;;
毎（ごと）に;Each, Every;N4;2;When and How Often;https://bunpro.jp/grammar_points/%E3%81%94%E3%81%A8%E3%81%AB;Verb + ごとに | Noun + ごとに;;;Standard;ごとに is a combination of the noun ごと, and the particle に. Together, they are used adverbially to express that something happens 'every (A)', or 'at intervals of (A)'. ごとに may be used after any verb (usually in non-past form), or noun.;ごと is the 訓読（くんよ）み (Japanese reading) of the kanji 毎（まい）, which means 'every'. This fact will be important when trying to remember the difference between ごとに and おきに, a similar grammar point which can also mean 'every', but focuses more on 'interval' or 'gap' of a specific time or distance. Due to おきに focusing on the space between 'each (A)', there are sentences where おきに and ごとに will have different meanings. | Here, we can see that ごとに will mean 'every week', while おきに will mean 'every second week', due to there being a 'one week interval' when おきに is used. To make things easier, these two expressions can be remembered in the following way. | (A) ごとに = During every (A), (B).;あのチームは、試合（しあい）をする毎（ごと）に強（つよ）くなっている。;That team is getting stronger with every match.;;;に (Frequency) | たびに | につけ | おきに | ～ずつ | まい～のように;;
なるべく;As ~ as possible, Wherever practicable;N4;2;When and How Often;https://bunpro.jp/grammar_points/%E3%81%AA%E3%82%8B%E3%81%B9%E3%81%8F;なるべく + (Action) Phrase;;;Standard;Combining 成（な）る (to become), and 可（べ）く (to be permissible), なるべく is an expression that literally means 'as each opportunity becomes permissible/presents itself'. This is often simply translated as 'as much as possible', or 'whenever possible'.;;なるべく速（はや）く行（い）きます。;I will go as fast as possible.;;;できれば・できたら;;
～る所（ところ）だ;About to, On the verge of;N4;2;When and How Often;https://bunpro.jp/grammar_points/%E3%82%8B%E3%81%A8%E3%81%93%E3%82%8D%E3%81%A0;Verb［る］ + ところ + だ | Verb［る］ + ところ + です;;;Standard;The noun ところ (sometimes shortened to とこ) is often used to describe the 'place' or 'situation' in which something happens. The primary determining factor for the nuance of ところ, is the tense of the verb it follows. When it is in the non-past form, ところ means 'about to (A)', or 'on the verge of (A)'.;In this use, ところ means stage/level/situation | When the kanji form of 所（ところ） is used, it is often referring to an actual physical location, rather than a situation/standpoint. However, this is something that native speakers will sometimes mistake. Therefore, seeing the kanji form, and the hiragana form, are both relatively common.;今（いま）から友達（ともだち）と会（あ）うところです。;I'm about to meet my friend.;;;たところだ | かけ | Verb[volitional]とする | ところだった ①;;
のに;Despite, Although, Even though;N4;2;When and How Often;https://bunpro.jp/grammar_points/%E3%81%AE%E3%81%AB-despite;Verb + のに | ［い］Adjective + のに | ［な］Adjective + な + のに | Noun + な + のに;;;Standard;Although のに is often thought of as a simple combination of the particles の and に, it is actually its own particle, with the meaning of 'despite', or 'in order to'. In this lesson, we will focus primarily on the 'despite' nuance.;;明日（あした）テストがあるのに彼（かれ）は勉強（べんきょう）をしないでゲームをしている。;Despite having a test tomorrow, he is playing games without studying.;;;ものを | くせに | それでも | にしても | ものの | それなのに | ながらも;;
